"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"American Samoa","ASM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562000000","574000000","570000000","618000000","638000000","625000000","758000000","559000000","541000000","563000000","646000000","651000000","695000000","665000000","639000000","626000000","662000000","614000000","686000000","694000000","677000000","",
"Antigua and Barbuda","ATG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","924222222.222222","853392592.592592","923581481.481481","970770370.37037","1132907407.40741","1180425925.92593","739748148.148148","866970370.37037","1175559259.25926","",
"Australia","AUS","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","2611840417.89447","2952320472.37128","2512160401.94566","2974720475.95528","3270400523.26408","3959200633.4721","4124960659.99371","4222400675.58411","4730880756.94092","4883200781.31213","5455520872.88334","5839680934.34895","6220794392.52337","7022421524.66368","11737656595.4311","14315171377.8506","14038081936.92","16144757972.0119","17265414581.9893","20687265704.8733","23827298050.1393","29570416811.7961","32610614586.7814","27657830161.6626","28996243474.9849","31190673250.0263","32912702853.9452","32314716781.3658","39231436371.1503","50821263276.5197","53060646565.2902","52680239945.8136","53341618613.5794","55746908375.4919","59676236596.3335","73019750519.7505","77631200583.3076","82133225648.4181","81674014786.6784","80794585787.6927","89663284607.9064","83770437082.2828","82017039226.4277","98900407687.8276","121992459809.361","145652868456.563","162450827269.882","186601240480.49","239715332950.148","211106497147.687","237995666496.38","285356953768.401","335184302952.683","335587972476.509","313702700990.666","291119040943.282","260021342759.476","274846166783.187","307300096115.09","301767475391.733","268413428246.403","276347165282.576","333675327040.552","368221405591.676",
"Austria","AUT","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","4222754697.00979","4883423835.22414","6036690874.45681","8127807997.75107","10716325088.3392","11418675831.5557","13387942011.1989","16661465323.4535","18958761489.6238","23982629953.6799","28828883216.3369","25143195956.4541","23075814309.9137","23074387927.0722","22995355202.5308","24397666932.6949","31708292924.7409","39047892903.7876","44657529254.43","47283383255.3302","59578835773.932","61623796110.7837","67252988980.7163","60542945699.7516","68853040597.5184","83696833629.0433","85017442162.7242","80519032585.4099","84196220542.4633","84520548577.6836","82889700573.0198","84769006146.693","89249971240.9531","109674879628.686","132415628187.464","143550314027.331","158881039267.694","187479970467.546","210948589023.367","168155373268.152","187341317488.667","220824764522.763","209525713468.418","217784703102.326","221810038046.113","188457898640.543","192280704252.106","212334568915.494","238694832569.741","231775666667.451","209360297800.903","263771195732.554","290110887690.137","292291962994.103",
"Azerbaijan","AZE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3484848484.84848","2202000000","242767527.675277","1193938484.62116","365437755.735643","1291025694.76464","1776337891.29477","2101809741.86871","2424528301.88679","1917520293.48339","2023510584.68024","2129887030.9465","3121181199.87986","4769352010.80084","6312226772.06379","7006931303.62029","8132229739.93922","9423346742.42883","11463815389.1093","10235225178.9351","10942312484.4256","15882135431.0447","17620935664.3268","19474571755.9694","19720098374.8264","18474102154.6726","16528818929.6131","17104502499.7749","17704999420.594","17712470588.2353","15537823529.4118","16336941176.4706","21274411764.7059","25016411764.7059",
"Burundi","BDI","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","26250000","29750000","35000000","33250000","31500002","19928888.8888889","21494857.1428571","21192000","24488000","23004571.4285714","28208000","35832000","37205714.2857143","40576812.5359258","53633015.8730159","79994920.6349206","74673623.1884058","94676666.6666667","123426666.666667","177800000","214223333.333333","213555555.555556","272632222.222222","268000000","232495196.72542","239045071.671224","268172621.529298","291223994.011007","280918091.10011","255573911.399346","314442789.991533","332769069.983968","319246482.287821","254942339.37397","263464979.043231","272899694.103893","136902390.42114","140485312.899106","173751533.20374","129001348.569806","141321270.48441","138400674.414404","140218229.171942","164737396.316344","225367196.228575","322845665.250624","446954652.535404","433983785.48887","591543748.571766","520184959.36698","605576363.596017","764650773.88168","793552538.140016","919568792.802472","928056749.066164","509708728.089859","440550588.776769","441594730.679213","557815769.466995","614607193.688784","588865206.251533","661150004.205175","779398863.881402","642834305.411024",
"Belgium","BEL","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","11422513916.902","12470410328.098","15284572449.8213","22015693438.2116","29348848384.4242","29954319403.3125","34320538140.0209","39904208216.0945","47131229665.6846","60077552283.9846","67141114636.5016","58814105823.555","55093659720.9959","52310487573.9645","53192322675.2304","52988261430.8037","66063110890.3739","80749672609.4003","92534612177.729","100782764127.764","122899593191.695","122855235676.314","132088996235.885","118889056669.776","134214479141.548","162055281882.868","161993745928.339","153905164636.897","156499555456.768","156514813408.186","165003474243.608","160904233210.669","168605250992.157","202551914317.803","243726488208.109","270950047193.152","297060116700.705","349267150580.942","414937621998.828","321712144735.156","356962071951.667","422831880855.059","398616863110.664","409744204056.825","422862995297.763","353165497773.594","372449652505.448","412988166685.412","453193773141.725","438172286460.391","403285802610.585","517604652557.744","568036760039.691","553908940537.853",
"Benin","BEN","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","27392931.4762288","22470097.8881596","23547276.9251727","29521377.126378","33034386.5030094","43212948.8252093","49061961.8359099","60547019.9467288","62251310.3584956","70874406.5167359","81609754.6678712","93259582.7959829","109969550.679458","130886433.37169","163593500.812373","226162498.384372","216705687.162128","260873185.254424","320872361.568629","439163941.3994","524469593.851615","567561866.310706","508205555.358072","345886016.984206","325136016.576985","383239093.31471","435776312.667196","483576069.85602","519824990.123577","372643204.18197","520152830.045727","602729540.381445","567957714.399145","748725748.468338","576481296.548688","790421147.797028","708783072.147658","715320152.690829","797921958.790615","1154049285.56866","941345994.062243","1040788979.38309","1008395973.11008","1228828001.90253","1324063349.9387","1353744164.69901","1527581986.81391","2211437454.14108","2509050412.39671","2412711824.80475","2704110555.34836","2819548390.78937","2990340508.51407","3959347660.28492","4495143318.07489","3648295538.29295","3709467045.80246","4352984748.39051","4923520743.9202","4900152192.29647","3915530456.1048","4799723188.71051","5102216512.85437","5932874631.17277",
"Burkina Faso","BFA","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","52340174.6105849","55303955.6348223","59614674.60058","61742268.3762032","47262650.2535327","48113638.5450975","50541598.8135743","62777882.9851454","70389672.7697367","79074219.5391521","73994563.6000506","96149801.9274703","123177198.744168","154654989.695036","183824251.385104","283412263.564162","263748239.834147","344381808.822477","409486698.018833","511997852.931223","602966202.763916","558238055.717459","554827918.018955","473268760.693225","419829292.408598","481677816.606485","589940831.90681","665476421.800553","709757473.822598","618479190.724753","758452847.747612","731992011.58168","655479337.64673","661457472.457898","474345780.209323","633116322.197919","714319725.936988","651175141.155085","789066173.756321","911820910.542789","780034955.169195","721473325.285311","813114613.713427","1002568390.43117","1341080287.75744","1495427536.1584","1581180859.76353","1786796468.4427","2385163308.31458","2505097431.05636","2887043504.96288","3781344358.33878","4351201289.56268","4968860980.95106","4446645106.4129","3902427857.57598","4103751193.78509","4629394216.11821","5166928258.63695","4994381288.40906","5133679370.81792","5835052304.00464","6229310025.11174","7308738869.82903",
"Bangladesh","BGD","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","397875437.5","563656854.166667","549204104.166667","620050875","760610875","789516354.166667","814737854.166667","913639937.5","868581375","988170750","1124763291.66667","938861375","863537083.333333","958701323.737309","1294857682.65127","1575422622.80306","1784273649.83165","1194951861.66774","2056130687.83069","2459010308.8042","3243617764.85788","2858506731.94614","2877295409.18164","2590824915.82492","2538320000","2860038461.53846","2577133333.33333","2842322580.64516","3255865280.26073","3679751008.08418","4126169961.93496","3785238095.23809","3915198938.99204","4677910052.91005","4681795511.22194","6580597014.92537","7601784841.0758","7625081967.21311","8058876651.98238","8525935940.09983","9060862651.56033","10102557449.9629","9060891520.11144","9761830742.65976","10229675556.3105","13898043915.4621","15621647050.5879","18268522234.2469","22874478207.0763","23725728422.8072","25105548783.1059","35365482209.3108","37259465796.8803","40137513915.4611","44128305097.7916","48297463387.433","46183400595.4048","50463186759.561","63757867791.9991","64919190527.2417","59195931884.2796","71021045649.9921","96157127851.08","77972815220.7747",
