Economy_Label,Year,Total fonction_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Total fonction_US_dollars_at_current_prices_Footnote,Total fonction_US_dollars_at_current_prices_MissingValue,"Agriculture, sylviculture, peche et chasse_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value","Agriculture, sylviculture, peche et chasse_US_dollars_at_current_prices_Footnote","Agriculture, sylviculture, peche et chasse_US_dollars_at_current_prices_MissingValue","Industries extractives et manufacturieres, construction_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value","Industries extractives et manufacturieres, construction_US_dollars_at_current_prices_Footnote","Industries extractives et manufacturieres, construction_US_dollars_at_current_prices_MissingValue",Transports_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Transports_US_dollars_at_current_prices_Footnote,Transports_US_dollars_at_current_prices_MissingValue,Communications_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Communications_US_dollars_at_current_prices_Footnote,Communications_US_dollars_at_current_prices_MissingValue,Combustibles et energie_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Combustibles et energie_US_dollars_at_current_prices_Footnote,Combustibles et energie_US_dollars_at_current_prices_MissingValue,Protection de l'environnement_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Protection de l'environnement_US_dollars_at_current_prices_Footnote,Protection de l'environnement_US_dollars_at_current_prices_MissingValue,Logement et developpement collectif_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Logement et developpement collectif_US_dollars_at_current_prices_Footnote,Logement et developpement collectif_US_dollars_at_current_prices_MissingValue,Sante_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Sante_US_dollars_at_current_prices_Footnote,Sante_US_dollars_at_current_prices_MissingValue,Enseignement_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Enseignement_US_dollars_at_current_prices_Footnote,Enseignement_US_dollars_at_current_prices_MissingValue,Securite sociale et oeuvres sociales_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Securite sociale et oeuvres sociales_US_dollars_at_current_prices_Footnote,Securite sociale et oeuvres sociales_US_dollars_at_current_prices_MissingValue,Services generaux des administrations publiques_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Services generaux des administrations publiques_US_dollars_at_current_prices_Footnote,Services generaux des administrations publiques_US_dollars_at_current_prices_MissingValue,Defense nationale_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Defense nationale_US_dollars_at_current_prices_Footnote,Defense nationale_US_dollars_at_current_prices_MissingValue,Ordre et securite publics_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Ordre et securite publics_US_dollars_at_current_prices_Footnote,Ordre et securite publics_US_dollars_at_current_prices_MissingValue,"Loisirs, culture et cultes_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value","Loisirs, culture et cultes_US_dollars_at_current_prices_Footnote","Loisirs, culture et cultes_US_dollars_at_current_prices_MissingValue","Tutelle de l'economie generale, des echanges et de l'emploi_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value","Tutelle de l'economie generale, des echanges et de l'emploi_US_dollars_at_current_prices_Footnote","Tutelle de l'economie generale, des echanges et de l'emploi_US_dollars_at_current_prices_MissingValue",Autres branches d'activite_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Autres branches d'activite_US_dollars_at_current_prices_Footnote,Autres branches d'activite_US_dollars_at_current_prices_MissingValue,RetD concernant les affaires economiques_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,RetD concernant les affaires economiques_US_dollars_at_current_prices_Footnote,RetD concernant les affaires economiques_US_dollars_at_current_prices_MissingValue,Affaires economiques n.c.a._Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Affaires economiques n.c.a._US_dollars_at_current_prices_Footnote,Affaires economiques n.c.a._US_dollars_at_current_prices_MissingValue,Autres_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Autres_US_dollars_at_current_prices_Footnote,Autres_US_dollars_at_current_prices_MissingValue
Cyprus,2021,12230,,,196,,,6,,,227,,,32,,,52,,,106,,,554,,,1823,,,1558,,,3561,,,1949,,,517,,,485,,,202,,,828,,,115,,,20,,,0,,,,,
Czechia,2000,25253,,,656,,,91,,,2216,,,7,,,133,,,538,,,755,,,4193,,,2714,,,7588,,,2188,,,1056,,,1155,,,799,,,381,,,45,,,193,,,545,,,,,
Czechia,2001,29368,,,954,,,215,,,2687,,,8,,,181,,,584,,,852,,,4773,,,3070,,,8263,,,2423,,,1156,,,1269,,,882,,,452,,,72,,,203,,,1323,,,,,
Czechia,2002,36707,,,1002,,,239,,,3020,,,10,,,196,,,733,,,610,,,5980,,,4037,,,10792,,,3457,,,1450,,,1649,,,1129,,,424,,,78,,,224,,,1676,,,,,
Czechia,2003,49164,,,1065,,,199,,,7205,,,12,,,253,,,1057,,,1177,,,7378,,,5223,,,12974,,,4559,,,1933,,,2094,,,1412,,,1010,,,132,,,235,,,1246,,,,,
Czechia,2004,50710,,,982,,,45,,,4989,,,16,,,371,,,1215,,,1666,,,8582,,,5710,,,14213,,,5503,,,1508,,,2397,,,1652,,,541,,,105,,,191,,,1024,,,,,
Czechia,2005,58107,,,774,,,114,,,5759,,,20,,,325,,,1474,,,1820,,,9429,,,6505,,,16302,,,7163,,,2051,,,2803,,,1836,,,627,,,220,,,214,,,670,,,,,
Czechia,2006,64788,,,943,,,122,,,6725,,,25,,,298,,,1664,,,1878,,,10839,,,7632,,,18587,,,6783,,,1782,,,3181,,,2308,,,772,,,259,,,260,,,730,,,,,
Czechia,2007,76908,,,1138,,,106,,,7860,,,30,,,357,,,1819,,,1838,,,12833,,,8181,,,22923,,,8723,,,2082,,,3647,,,2672,,,890,,,295,,,421,,,1094,,,,,
Czechia,2008,96784,,,1338,,,200,,,11207,,,42,,,394,,,2151,,,2136,,,16358,,,10178,,,28927,,,10866,,,2423,,,4456,,,3368,,,1102,,,383,,,492,,,763,,,,,
Czechia,2009,92012,,,1510,,,80,,,10401,,,32,,,388,,,1421,,,2074,,,16113,,,9586,,,27764,,,10298,,,2092,,,4115,,,3357,,,1040,,,358,,,491,,,893,,,,,
Czechia,2010,91217,,,1174,,,88,,,9471,,,31,,,623,,,2066,,,1934,,,16180,,,9640,,,28199,,,9988,,,2036,,,4057,,,3185,,,938,,,349,,,529,,,729,,,,,
Czechia,2011,99143,,,1215,,,16,,,8709,,,35,,,2036,,,2932,,,1992,,,17552,,,10529,,,31034,,,10950,,,2024,,,4038,,,3246,,,927,,,382,,,653,,,874,,,,,
Czechia,2012,93307,,,898,,,26,,,7278,,,31,,,1928,,,2754,,,1455,,,16075,,,9478,,,28605,,,13992,,,1673,,,3553,,,2830,,,1027,,,434,,,587,,,685,,,,,
Czechia,2013,90284,,,809,,,19,,,6757,,,31,,,2283,,,2126,,,1718,,,16037,,,9568,,,29279,,,10912,,,1604,,,3653,,,2849,,,830,,,510,,,553,,,747,,,,,
Czechia,2014,89233,,,878,,,23,,,7054,,,31,,,2118,,,2223,,,1763,,,15809,,,9484,,,28052,,,10802,,,1451,,,3514,,,2841,,,1535,,,587,,,532,,,538,,,,,
Czechia,2015,78850,,,823,,,29,,,7249,,,24,,,2111,,,2086,,,1241,,,14164,,,8269,,,24250,,,8807,,,1717,,,3428,,,2490,,,723,,,633,,,442,,,364,,,,,
Czechia,2016,78020,,,902,,,28,,,6772,,,32,,,1981,,,1471,,,1153,,,14560,,,7741,,,24930,,,8944,,,1412,,,3387,,,2527,,,866,,,519,,,409,,,386,,,,,
Czechia,2017,85222,,,1046,,,36,,,7006,,,29,,,2123,,,1753,,,1279,,,16149,,,8887,,,26956,,,9175,,,1751,,,3820,,,2858,,,805,,,594,,,492,,,464,,,,,
Czechia,2018,101081,,,1253,,,39,,,8519,,,118,,,2279,,,2120,,,1921,,,18638,,,11377,,,30817,,,11029,,,2150,,,4626,,,3670,,,983,,,408,,,617,,,517,,,,,
Czechia,2019,103681,,,1316,,,32,,,9060,,,55,,,2211,,,2106,,,1669,,,19070,,,12264,,,31611,,,11005,,,2213,,,4776,,,3600,,,938,,,666,,,677,,,413,,,,,
Czechia,2020,116146,,,1301,,,21,,,10017,,,47,,,2223,,,2217,,,1607,,,22969,,,12458,,,35241,,,11446,,,2506,,,5246,,,3538,,,3469,,,715,,,649,,,475,,,,,
Czechia,2021,131072,,,1610,,,30,,,10954,,,40,,,2641,,,2625,,,1760,,,27700,,,14239,,,38426,,,13060,,,2718,,,5510,,,3791,,,4177,,,585,,,688,,,517,,,,,
Denmark,2000,86489,,,348,,,100,,,2685,,,62,,,602,,,826,,,1169,,,10980,,,10323,,,36687,,,14003,,,2358,,,1482,,,2567,,,1610,,,64,,,313,,,310,,,,,
Denmark,2001,87071,,,306,,,100,,,2735,,,50,,,530,,,997,,,749,,,11424,,,10538,,,37341,,,13827,,,2440,,,1517,,,2656,,,1642,,,106,,,,,,252,,,,,
Denmark,2002,95059,,,458,,,79,,,2908,,,57,,,554,,,1217,,,985,,,12639,,,11747,,,41063,,,13964,,,2627,,,1661,,,2833,,,1737,,,101,,,341,,,88,,,,,
Denmark,2003,116986,,,569,,,87,,,3659,,,79,,,572,,,1361,,,1166,,,15583,,,14322,,,51770,,,16553,,,3180,,,2051,,,3498,,,1995,,,94,,,353,,,94,,,,,
Denmark,2004,133222,,,494,,,123,,,4257,,,73,,,745,,,1417,,,1059,,,18123,,,16666,,,58941,,,17965,,,3600,,,2368,,,4396,,,2177,,,93,,,490,,,236,,,,,
Denmark,2005,135517,,,467,,,43,,,4513,,,82,,,585,,,1649,,,769,,,19177,,,16863,,,60138,,,18011,,,3655,,,2481,,,4137,,,2243,,,90,,,488,,,128,,,,,
Denmark,2006,140961,,,582,,,50,,,4705,,,99,,,379,,,1625,,,517,,,20788,,,17514,,,61296,,,19103,,,4330,,,2569,,,4340,,,2323,,,102,,,531,,,107,,,,,
Denmark,2007,158407,,,612,,,125,,,5023,,,78,,,698,,,1657,,,1034,,,24491,,,18978,,,68557,,,21478,,,4515,,,2920,,,5450,,,2091,,,127,,,425,,,150,,,,,
Denmark,2008,178131,,,778,,,44,,,5758,,,124,,,337,,,1609,,,1331,,,27867,,,21574,,,76320,,,24950,,,4962,,,3424,,,6281,,,2326,,,160,,,193,,,94,,,,,
Denmark,2009,181619,,,771,,,23,,,5799,,,116,,,702,,,1415,,,1620,,,28498,,,22281,,,77976,,,25317,,,4425,,,3452,,,5987,,,2825,,,144,,,157,,,113,,,,,
Denmark,2010,182485,,,619,,,29,,,6605,,,100,,,626,,,1324,,,824,,,27531,,,22963,,,79972,,,25608,,,4342,,,3348,,,5724,,,2446,,,148,,,208,,,68,,,,,
Denmark,2011,194119,,,730,,,22,,,7039,,,13,,,715,,,1319,,,963,,,29067,,,23457,,,84944,,,28139,,,4639,,,3649,,,6215,,,2687,,,162,,,271,,,86,,,,,
Denmark,2012,189599,,,674,,,18,,,7144,,,1,,,894,,,1308,,,922,,,28311,,,22809,,,80415,,,29994,,,4590,,,3334,,,6001,,,2579,,,183,,,311,,,111,,,,,
Denmark,2013,191790,,,568,,,34,,,7135,,,4,,,1046,,,1626,,,959,,,29248,,,23649,,,84261,,,25849,,,4506,,,3485,,,6233,,,2589,,,177,,,364,,,59,,,,,
Denmark,2014,194915,,,603,,,17,,,7628,,,7,,,1388,,,1638,,,796,,,30215,,,25157,,,84712,,,25793,,,4017,,,3571,,,6177,,,2502,,,184,,,360,,,150,,,,,
Denmark,2015,165040,,,449,,,10,,,6671,,,5,,,1340,,,1280,,,714,,,25800,,,21219,,,71082,,,22295,,,3384,,,2963,,,5327,,,1984,,,163,,,315,,,38,,,,,
Denmark,2016,164319,,,462,,,3,,,6086,,,4,,,1270,,,1262,,,801,,,26415,,,21277,,,71679,,,20644,,,3484,,,3070,,,5416,,,1905,,,169,,,342,,,30,,,,,
Denmark,2017,167886,,,506,,,3,,,6375,,,1,,,1431,,,1343,,,694,,,27643,,,21382,,,73827,,,19613,,,3874,,,3102,,,5608,,,1923,,,181,,,352,,,28,,,,,
Denmark,2018,180377,,,566,,,3,,,6749,,,236,,,1453,,,1415,,,819,,,29597,,,22815,,,78036,,,22608,,,4214,,,3354,,,5795,,,2047,,,203,,,438,,,28,,,,,
Denmark,2019,172098,,,611,,,3,,,6071,,,34,,,1374,,,1347,,,690,,,29031,,,21930,,,75096,,,20457,,,3932,,,3372,,,5571,,,2035,,,221,,,278,,,42,,,,,
Denmark,2020,190172,,,642,,,3,,,7291,,,30,,,1594,,,1434,,,567,,,31854,,,22660,,,79765,,,22425,,,4152,,,3555,,,6008,,,7394,,,319,,,448,,,32,,,,,
Denmark,2021,202353,,,1249,,,3,,,6685,,,20,,,1361,,,1471,,,451,,,36805,,,24057,,,84174,,,24094,,,4845,,,3798,,,6436,,,6248,,,221,,,402,,,34,,,,,
Egypt,2002,26988,,,1206,,,404,,,342,,,44,,,61,,,58,,,1159,,,1557,,,4246,,,5659,,,7184,,,2842,,,1366,,,1170,,,,,,,,,,,,,,,,,
Egypt,2003,22742,,,919,,,18,,,300,,,56,,,48,,,152,,,965,,,1298,,,3529,,,4833,,,6020,,,2279,,,1182,,,990,,,,,,,,,,,,,,,,,
Egypt,2004,24335,,,888,,,53,,,385,,,55,,,451,,,71,,,949,,,1303,,,3658,,,5467,,,6757,,,2350,,,1225,,,1073,,,,,,,,,,,,,,,,,
Egypt,2005,28873,,,966,,,508,,,411,,,83,,,67,,,85,,,1039,,,1256,,,4468,,,6958,,,8347,,,2562,,,1540,,,1264,,,,,,,,,,,,,,,,,
Egypt,2006,38309,,,957,,,497,,,348,,,104,,,71,,,72,,,979,,,1686,,,4472,,,14726,,,9047,,,2779,,,1836,,,1332,,,,,,,,,,,,,,,,,
Egypt,2007,42442,,,1081,,,41,,,552,,,108,,,77,,,147,,,1641,,,1851,,,4926,,,15207,,,10279,,,3180,,,1975,,,1549,,,,,,,,,,,,,,,,,
Egypt,2008,56290,,,,,,,,,,,,,,,,,,168,,,2552,,,2423,,,6199,,,21930,,,11466,,,3691,,,2419,,,2020,,,,,,,,,,,,,,,,,
Egypt,2009,64377,,,,,,,,,,,,,,,,,,227,,,3283,,,2847,,,7193,,,23869,,,13341,,,4064,,,2916,,,2490,,,,,,,,,,,,,,,,,
Egypt,2010,70561,,,,,,,,,,,,,,,,,,243,,,3618,,,3085,,,7995,,,23893,,,16909,,,4233,,,3254,,,2640,,,,,,,,,,,,,,,,,
Egypt,2011,74206,,,,,,,,,,,,,,,,,,195,,,2158,,,3418,,,8127,,,27102,,,18455,,,4504,,,3493,,,2525,,,,,,,,,,,,,,,,,
Egypt,2012,85274,,,,,,,,,,,,,,,,,,238,,,1898,,,3714,,,9314,,,29134,,,24804,,,4333,,,4555,,,2889,,,,,,,,,,,,,,,,,
Egypt,2013,93027,,,,,,,,,,,,,,,,,,279,,,2791,,,4651,,,11163,,,26978,,,26978,,,5582,,,5582,,,3721,,,,,,,,,,,,,,,,,
Egypt,2014,106621,,,,,,,,,,,,,,,,,,320,,,3199,,,5331,,,12795,,,30920,,,30920,,,6397,,,6397,,,4265,,,,,,,,,,,,,,,,,
Egypt,2015,104086,,,,,,,,,,,,,,,,,,312,,,3123,,,5204,,,12490,,,30185,,,30185,,,6245,,,6245,,,4163,,,,,,,,,,,,,,,,,
El Salvador,2002,3062,,,46,,,20,,,56,,,35,,,1,,,5,,,55,,,403,,,450,,,342,,,931,,,125,,,326,,,102,,,,,,,,,,,,,,,,,
El Salvador,2003,2784,,,24,,,,,,157,,,,,,5,,,5,,,298,,,358,,,405,,,381,,,530,,,91,,,308,,,32,,,,,,,,,,,,,,,,,
El Salvador,2004,3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,2005,3637,,,35,,,,,,99,,,85,,,1,,,22,,,359,,,552,,,512,,,394,,,,,,113,,,402,,,25,,,,,,,,,,,,,,,,,
El Salvador,2006,3973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,2007,3934,,,44,,,2,,,106,,,3,,,1,,,6,,,187,,,549,,,541,,,788,,,1000,,,119,,,419,,,29,,,,,,,,,,,,,,,,,
El Salvador,2008,4587,,,51,,,4,,,82,,,5,,,,,,6,,,246,,,687,,,600,,,976,,,1224,,,118,,,459,,,31,,,,,,,,,,,,,,,,,
El Salvador,2009,4978,,,,,,,,,,,,,,,,,,27,,,71,,,743,,,842,,,1043,,,1131,,,133,,,523,,,33,,,,,,,,,,,,,,,,,
El Salvador,2010,4863,,,70,,,0,,,171,,,9,,,2,,,36,,,52,,,661,,,752,,,982,,,1251,,,143,,,567,,,31,,,,,,,,,,,,,,,,,
El Salvador,2011,5634,,,54,,,0,,,184,,,2,,,2,,,18,,,171,,,877,,,706,,,916,,,1767,,,158,,,582,,,51,,,,,,,,,,,,,,,,,
El Salvador,2012,5363,,,62,,,148,,,,,,16,,,295,,,30,,,,,,697,,,858,,,,,,2474,,,162,,,530,,,30,,,,,,,,,,,,,,,,,
El Salvador,2013,6056,,,46,,,0,,,74,,,6,,,320,,,30,,,,,,714,,,850,,,,,,2633,,,163,,,554,,,30,,,,,,,,,,,,,,,,,
El Salvador,2014,5742,,,72,,,0,,,27,,,6,,,285,,,34,,,73,,,531,,,895,,,852,,,2046,,,164,,,630,,,17,,,47,,,29,,,0,,,34,,,,,
El Salvador,2015,5561,,,65,,,80,,,166,,,15,,,176,,,34,,,140,,,908,,,957,,,527,,,1289,,,164,,,682,,,23,,,221,,,34,,,27,,,53,,,,,
El Salvador,2016,6079,,,48,,,37,,,135,,,28,,,119,,,40,,,51,,,922,,,983,,,1112,,,1360,,,133,,,719,,,32,,,220,,,22,,,82,,,36,,,,,
El Salvador,2017,6741,,,75,,,114,,,149,,,27,,,128,,,37,,,87,,,954,,,580,,,1224,,,1921,,,168,,,822,,,34,,,215,,,24,,,45,,,141,,,,,
El Salvador,2018,6978,,,70,,,103,,,218,,,20,,,61,,,23,,,73,,,1048,,,1032,,,1139,,,1917,,,159,,,802,,,40,,,195,,,25,,,20,,,32,,,,,
El Salvador,2019,7024,,,52,,,83,,,195,,,12,,,135,,,27,,,56,,,1079,,,1007,,,1179,,,1865,,,176,,,820,,,37,,,202,,,30,,,26,,,42,,,,,
El Salvador,2020,8757,,,99,,,42,,,245,,,32,,,137,,,42,,,165,,,1226,,,1039,,,1256,,,3004,,,212,,,819,,,37,,,235,,,21,,,37,,,111,,,,,
El Salvador,2021,9482,,,100,,,183,,,302,,,47,,,185,,,47,,,237,,,1539,,,1134,,,2110,,,1975,,,265,,,979,,,51,,,246,,,23,,,55,,,6,,,,,
Estonia,2000,2073,,,50,,,3,,,164,,,4,,,4,,,30,,,22,,,258,,,365,,,599,,,202,,,68,,,157,,,112,,,14,,,4,,,13,,,4,,,,,
Estonia,2001,2188,,,49,,,3,,,177,,,4,,,3,,,45,,,21,,,271,,,397,,,626,,,188,,,81,,,158,,,127,,,14,,,4,,,15,,,5,,,,,
Estonia,2002,2654,,,64,,,3,,,218,,,7,,,3,,,46,,,27,,,324,,,482,,,723,,,249,,,100,,,197,,,166,,,16,,,6,,,17,,,6,,,,,
Estonia,2003,3466,,,85,,,6,,,270,,,7,,,6,,,71,,,37,,,423,,,620,,,965,,,309,,,131,,,251,,,216,,,22,,,9,,,24,,,15,,,,,
Estonia,2004,4142,,,90,,,3,,,277,,,8,,,4,,,85,,,34,,,513,,,749,,,1216,,,383,,,165,,,265,,,261,,,31,,,13,,,30,,,13,,,,,
Estonia,2005,4758,,,81,,,4,,,366,,,8,,,8,,,131,,,25,,,581,,,832,,,1356,,,439,,,194,,,299,,,327,,,42,,,17,,,35,,,13,,,,,
Estonia,2006,5697,,,105,,,5,,,477,,,10,,,20,,,135,,,2,,,734,,,998,,,1569,,,585,,,221,,,341,,,375,,,45,,,21,,,37,,,17,,,,,
Estonia,2007,7583,,,180,,,5,,,560,,,12,,,52,,,192,,,130,,,990,,,1289,,,2028,,,752,,,282,,,476,,,463,,,71,,,24,,,59,,,18,,,,,
Estonia,2008,9642,,,185,,,6,,,686,,,13,,,84,,,263,,,141,,,1283,,,1585,,,2754,,,773,,,414,,,650,,,576,,,100,,,38,,,70,,,20,,,,,
Estonia,2009,9038,,,245,,,2,,,542,,,8,,,65,,,152,,,9,,,1168,,,1383,,,2960,,,740,,,440,,,463,,,486,,,210,,,30,,,53,,,82,,,,,
Estonia,2010,7871,,,133,,,6,,,541,,,8,,,19,,,,,,93,,,1108,,,1274,,,2696,,,644,,,340,,,426,,,430,,,106,,,28,,,52,,,18,,,,,
Estonia,2011,8688,,,154,,,8,,,638,,,8,,,,,,,,,126,,,1215,,,1413,,,2842,,,791,,,351,,,478,,,463,,,106,,,38,,,82,,,18,,,,,
Estonia,2012,9034,,,152,,,9,,,633,,,8,,,21,,,203,,,152,,,1206,,,1411,,,2766,,,918,,,421,,,468,,,430,,,97,,,46,,,76,,,19,,,,,
Estonia,2013,9651,,,178,,,7,,,751,,,9,,,,,,167,,,151,,,1315,,,1484,,,2922,,,994,,,461,,,470,,,526,,,86,,,44,,,84,,,31,,,,,
Estonia,2014,10058,,,136,,,10,,,793,,,10,,,48,,,182,,,137,,,1413,,,1471,,,3064,,,1039,,,476,,,511,,,539,,,88,,,46,,,74,,,21,,,,,
Estonia,2015,9048,,,117,,,8,,,742,,,11,,,5,,,166,,,82,,,1300,,,1355,,,2854,,,922,,,432,,,407,,,457,,,83,,,26,,,57,,,24,,,,,
Estonia,2016,9484,,,126,,,8,,,648,,,9,,,29,,,143,,,82,,,1301,,,1362,,,3083,,,954,,,569,,,460,,,496,,,123,,,19,,,48,,,26,,,,,
Estonia,2017,10564,,,149,,,7,,,864,,,9,,,16,,,198,,,96,,,1412,,,1531,,,3391,,,1037,,,549,,,512,,,577,,,100,,,23,,,66,,,27,,,,,
Estonia,2018,12027,,,150,,,6,,,810,,,8,,,10,,,228,,,102,,,1666,,,1900,,,3913,,,1189,,,626,,,569,,,601,,,105,,,35,,,77,,,33,,,,,
Estonia,2019,12243,,,137,,,4,,,817,,,10,,,23,,,210,,,127,,,1766,,,1901,,,4059,,,1102,,,658,,,559,,,632,,,116,,,30,,,61,,,33,,,,,
Estonia,2020,14076,,,129,,,5,,,951,,,13,,,35,,,210,,,127,,,2058,,,2011,,,4611,,,1247,,,752,,,618,,,633,,,509,,,55,,,75,,,36,,,,,
Estonia,2021,15424,,,152,,,4,,,1097,,,15,,,75,,,206,,,171,,,2414,,,2198,,,5012,,,1427,,,757,,,679,,,763,,,272,,,31,,,85,,,64,,,,,
Fiji,2005,822,,,,,,,,,,,,,,,,,,8,,,76,,,79,,,176,,,37,,,233,,,49,,,56,,,7,,,,,,,,,,,,,,,,,
Fiji,2006,884,,,,,,,,,,,,,,,,,,2,,,83,,,83,,,198,,,35,,,221,,,48,,,83,,,6,,,,,,,,,,,,,,,,,
Fiji,2010,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2011,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2012,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2013,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2014,1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2015,1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2016,1328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2017,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2018,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2000,60420,,,,,,,,,,,,,,,,,,394,,,539,,,7207,,,7377,,,24613,,,9458,,,1751,,,1624,,,1418,,,,,,,,,,,,,,,,,
Finland,2001,61240,,,1458,,,110,,,2395,,,34,,,22,,,389,,,541,,,7572,,,7635,,,24854,,,9590,,,1673,,,1660,,,1377,,,862,,,123,,,737,,,208,,,,,
Finland,2002,68054,,,1599,,,123,,,2880,,,39,,,21,,,418,,,545,,,8698,,,8574,,,27994,,,9823,,,1825,,,1751,,,1525,,,1023,,,138,,,845,,,233,,,,,
Finland,2003,84693,,,1952,,,141,,,3474,,,50,,,28,,,519,,,571,,,11019,,,10798,,,34917,,,12214,,,2400,,,2227,,,1897,,,1351,,,0,,,989,,,146,,,,,
Finland,2004,97008,,,2186,,,147,,,4136,,,56,,,30,,,562,,,602,,,12791,,,12281,,,40061,,,13841,,,2923,,,2470,,,2183,,,1434,,,0,,,1100,,,205,,,,,
Finland,2005,100434,,,2346,,,152,,,4125,,,58,,,32,,,643,,,556,,,13643,,,12503,,,41123,,,14428,,,3121,,,2619,,,2183,,,1480,,,0,,,1201,,,219,,,,,
Finland,2006,104354,,,2467,,,182,,,4225,,,64,,,33,,,682,,,609,,,14485,,,12959,,,42591,,,14909,,,3086,,,2663,,,2271,,,1704,,,0,,,1213,,,211,,,,,
Finland,2007,119395,,,2585,,,226,,,5091,,,45,,,53,,,818,,,831,,,16576,,,14787,,,48807,,,17058,,,3465,,,3026,,,2685,,,1727,,,0,,,1351,,,263,,,,,
Finland,2008,136789,,,2727,,,304,,,6095,,,47,,,63,,,874,,,1138,,,19143,,,16633,,,55118,,,19892,,,4103,,,3552,,,3089,,,2021,,,0,,,1509,,,481,,,,,
Finland,2009,137121,,,2618,,,276,,,5836,,,66,,,61,,,863,,,1240,,,18778,,,16429,,,57102,,,19591,,,4021,,,3534,,,3004,,,1967,,,21,,,1573,,,139,,,,,
Finland,2010,134457,,,2555,,,256,,,5608,,,52,,,64,,,689,,,1214,,,18282,,,16310,,,56359,,,19097,,,3735,,,3619,,,3045,,,1865,,,15,,,1533,,,160,,,,,
Finland,2011,147883,,,2756,,,276,,,6189,,,50,,,89,,,668,,,1402,,,20295,,,17706,,,61931,,,21976,,,3779,,,3687,,,3286,,,1952,,,21,,,1617,,,203,,,,,
Finland,2012,143197,,,2422,,,306,,,6141,,,49,,,122,,,637,,,1115,,,19919,,,16534,,,60918,,,21069,,,3844,,,3513,,,3083,,,1773,,,17,,,1546,,,189,,,,,
Finland,2013,154197,,,2376,,,287,,,6460,,,58,,,210,,,693,,,1074,,,21246,,,17271,,,66754,,,22449,,,3968,,,3658,,,4003,,,1818,,,16,,,1626,,,230,,,,,
Finland,2014,157433,,,2320,,,282,,,6910,,,57,,,186,,,692,,,1080,,,21467,,,17427,,,69326,,,22685,,,3803,,,3531,,,3960,,,1948,,,20,,,1550,,,187,,,,,
Finland,2015,132492,,,1790,,,485,,,5708,,,42,,,337,,,554,,,953,,,17093,,,14529,,,59262,,,19620,,,3062,,,2907,,,3413,,,1478,,,0,,,1259,,,0,,,,,
Finland,2016,133984,,,1789,,,560,,,5643,,,39,,,283,,,546,,,750,,,17285,,,14565,,,61351,,,19104,,,3196,,,2857,,,3482,,,1328,,,0,,,1205,,,0,,,,,
Finland,2017,137115,,,1797,,,182,,,5849,,,40,,,399,,,512,,,827,,,17926,,,14443,,,62749,,,19856,,,3179,,,2881,,,3740,,,1463,,,0,,,1272,,,0,,,,,
