"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510407321.01202","1568831168.83117","1434345506.77062","1328486401.82258","1391840132.2857","1724545403.17187","1783081344.7976","1881082348.14513","2104878097.12587","1998198332.89725","2159393245.18188","2303914531.76233","2444524287.08468","2722752388.68635","3437836535.7578","4367990696.06839","5444344018.82683","7802809862.2659","9876359204.5479","8373894470.88408","9102915883.25826","10133531442.2155","10278418540.9396","10979506808.2988","11334720599.2163","9606433469.39208","9465981607.52563","10645440394.9662","11372552532.8689","13075066684.6702","11414821832.5018","11782240308.0771","15482944430.4175","19212502038.3204",
"American Samoa","ASM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","12788162046.1059","13636002181.7603","14142242262.7588","15076322412.2116","16347522615.6036","17878562860.5701","19251683080.2693","20927203348.3525","23008163681.3062","24983843997.415","27795044447.2071","30899684943.9496","35903037383.1776","44062780269.0583","60450994841.5623","70705994810.8699","77385289068.2707","81824959853.1773","89655413544.3501","99837555378.8481","109676880222.841","130575873679.322","143216374269.006","137763190650.263","145386936566.529","133957356459.468","137425153889.2","143472736897.83","173294247414.159","215332853462.399","225242071452.921","245515143381.202","253595714213.203","240656970207.982","245284676582.497","279691119691.12","303672000248.862","326165556165.979","300689140609.103","297282867527.259","315889228574.084","290496092630.576","299170118619.512","356183459522.423","464811495234.03","523544159158.651","556429404656.191","633894166601.24","780951587979.451","672001684587.497","851786249053.147","1014149190101.58","1121353486731.8","1158294955223.54","1080320068449.7","1016798801262.3","928329237542.292","1000270749478.3","1073814063808.02","1035743583398.48","983724495576.004","1137958263083.93","1197073994716.27","1223442232362.8",
"Austria","AUT","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","10651480285.7899","12422926533.7592","15172431097.0891","20296424204.0902","24362060512.3675","29410477206.289","31918580194.8301","38658675380.9008","45784318203.3545","54189755018.0134","60713814082.1102","53576120615.1719","54166552391.7077","55688392829.784","51780268894.8491","52919495211.4924","74951989184.3173","93792272529.3862","99719460604.0343","98675790951.6381","122942460365.485","127819047731.291","145479171049.336","143401786348.042","152935339115.769","179641367544.698","178113244086.301","158237535235.089","161200500222.321","159632316095.869","144191934343.561","144353877258.315","155176014372.263","191625029357.211","219320365975.958","231240464748.078","243714067060.87","275389777665.13","307177722012.266","297967494315.574","290261859359.834","316322986548.542","300175481415.305","316529389478.926","323968971793.199","276717174876.016","284658344023.133","300421345682.671","324286211242.274","315737654245.882","308431110188.343","343065796269.917","338115742084.787","371813399254.477",
"Azerbaijan","AZE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6236363636.36364","3751000000","362656826.568266","1504936234.05851","1206092120.55597","2348225745.97064","3166975296.80222","3450365398.48822","4231196691.65159","4186725531.62313","4194982069.23989","4288872639.49869","4696121230.57427","5264594062.38991","5964509878.94527","6959545006.93342","9576750667.36061","14231626198.5447","20483678586.2077","23864774447.8298","26583727884.3758","31252548481.2951","34837872066.9004","38701610240.8924","42377672127.26","36674819728.1966","27090245042.6829","28168468266.9486","30437989737.7497","33062058823.5294","32918352941.1765","36311294117.6471","43347941176.4706","48640941176.4706",
"Burundi","BDI","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","185499996","192499998","204750008","234499994","241499996","153302518.518519","157914285.714286","168016000","173822857.142857","179073142.857143","233997714.285714","248109714.285714","247196571.428571","295224052.18304","351230476.190476","434231111.111111","420781449.275362","484565555.555556","576552222.222222","732755555.555556","925216666.666667","929201111.111111","1035898888.88889","1005771920.38731","924731434.299557","1102818748.03215","1189088039.76526","1056578768.20978","1064298996.40301","1077552518.79723","1192841084.93183","1216172324.84726","1192310456.40245","997193202.635914","1028965790.79644","1080347659.33424","884009691.494632","958376614.162055","935500141.208854","828305770.459224","932592161.599623","930606970.915879","894344352.821752","837576963.385121","982286417.509152","1167342875.31423","1391633798.19294","1492003082.12353","1818006043.4017","1846035407.62124","2091872262.56434","2438257331.70111","2519426570.69361","2789460080.36818","3014241410.0218","3036966131.82934","2671917628.69441","2761203279.34853","2777202230.66132","2693838605.801","2814721425.83464","2934170781.81686","3505199659.57053","2802781284.1997",
"Belgium","BEL","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","18152097620.0081","20689251706.2742","25989861607.552","33667450838.3358","39369751449.8757","48424846989.1412","52419752351.0972","62233075970.7372","76598679390.2908","89710228398.459","98382243068.0094","84167500000","74446120430.867","70636818145.9566","66551468165.317","69106889054.963","94937381253.3863","117436121015.667","123257436094.35","122619349918.1","152792475857.074","159255483756.645","176330316185.696","168441403917.91","182235987460.815","214173097974.822","209951791530.945","186537550744.249","191341409202.045","189435795261.931","173692913466.04","174527116576.654","190364509891.02","234356298599.921","267454671238.688","278803615855.564","293893873147.411","335586490602.276","379669347084.844","365169799088.242","361887772226.667","395596188398.833","378302298546.445","400599580109.609","407137531513.842","346539153936.914","354921841713.62","374582847601.412","407037228985.098","398485235876.078","388538223330.273","435801720025.574","435188145437.745","477982798152.557",
"Benin","BEN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","213906328.821798","222187326.253334","227419530.253414","246772027.879886","264125079.689117","286605584.797126","304655609.23444","307083308.763644","317731959.792296","320799662.875033","325928802.682149","334272768.115984","406442351.258578","490315177.834359","537720007.158316","674045197.932556","708081761.488219","756432264.585228","947014098.814008","1191963219.31397","1494471630.72641","1450594449.58696","1200723913.796","1100736440.5995","1036126276.4212","1088126960.51243","1369172255.57899","1605474499.63842","1663119778.13102","1494668299.20936","1828593160.19962","1884368663.58349","1638375444.9581","2147066749.59335","1437376843.44082","1901515201.01157","2029828209.00685","1946531806.88056","2142131933.91951","3315010496.5796","3172537453.63099","3327730701.0851","3753160504.60719","4769604140.47432","5426222535.94635","5913687647.28346","6385944635.65986","7241960715.98115","8784833942.20136","8762911643.14241","8551170480.8331","9522954341.94009","9767289653.15479","10664852472.9389","11045952572.8965","9860273434.57605","9870745149.79073","10555709199.1095","11532614591.2699","11338508118.8743","12463814332.0357","13684318281.4672","12389699913.9396","13474722965.2738",
"Burkina Faso","BFA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","315786757.093487","331867481.650154","358721230.009156","371707467.800792","378682724.03604","386076096.07821","398974945.448713","425164777.217232","432533799.831732","450435160.987143","428139351.037828","444753407.035594","520904940.711123","594598555.282963","618140608.307605","857887305.897125","856232377.992071","1073247464.69577","1387619423.66575","1691370128.7491","1917942313.91674","1781258979.24669","1706996433.50974","1542516310.74253","1394853573.87819","1523792976.4533","2033126912.26887","2310581040.05329","2546542199.40123","2471390919.51962","2933082073.02958","2873442547.62651","3067299392.47344","2951975530.98992","1585596585.26375","2106849411.16092","2382429761.10973","2163729166.86127","2556641037.48141","3431946573.04325","3053348821.93248","3191140196.83292","3627062983.47689","4573328560.52374","5353539891.0883","5957345516.20569","6355437012.68482","7231591017.99844","8917873642.97574","8763443112.19509","8699439682.87167","10024560633.52","10474560731.0432","11585217961.6156","11948789012.6107","10349257331.5084","10942456223.605","11890172636.4156","13140879548.1058","13168620880.6592","14184356341.3256","15969497222.6739","15781997468.7656","17185254256.001",
