"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bahrain","BHR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","3813478376.22712","4547340159.57447","4337766223.40425","3611169946.80851","3768351063.82979","3716489627.65957","3013031914.89362","3472340425.53191","3529787234.04255","3811169946.80851","4887765691.48936","3923935904.25532","4009042287.23404","4361702127.65957","4520478723.40425","4796010638.29787","5364361436.17021","5020744946.80851","3994946808.51064","5221808510.6383","7176063829.78723","6607446808.51064","6956117021.2766","7980851063.82979","10336702127.6596","13396808510.6383","15662234042.5532","17314361702.1277","21231382978.7234","15704787234.0426","17880319148.9362","28609308510.6383","31409042553.1915","34102925531.9149","32069148936.1702","25805319148.9362","23918617021.2766","26881914893.617","29959042553.1915","29564361702.1277","25249202127.6596","35234574468.0851","","",
"Bahamas, The","BHS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","589300000","688100000","785000000","939800000","961200000","1038300000","1153500000","1297900000","1503600000","1577900000","1664300000","","1648320000","1714730000","1585170000","1562180000","1606810000","1662790000","1699040000","1733680000","2335400000","2368200000","2801300000","3072900000","2834100000","3212800000","3176400000","3460500000","3812500000","3895000000","4257100000","4157100000","3412900000","3528800000","3769900000","4087400000","4175300000","4162300000","4241300000","3901400000","3950200000","4521500000","4629100000","2413900000","3353500000","5179300000","5699000000",
"Bosnia and Herzegovina","BIH","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194000000","381000000","658000000","1022025932.26516","1124011006.6217","1295466214.90962","1218441300.88654","1280121565.11077","1286840345.11132","1749751115.45058","2288902820.48075","2728982617.39837","3378094597.29891","4276282415.0824","5131416810.71543","4405139247.28548","5100600105.63809","5972861400.33278","5572942366.69053","6134185102.89189","6307950241.79724","5760366704.24363","6146467330.90555","7390002149.41859","8600140616.84324","8201251111.85139","6913561098.91262","10078259875.6899","11807523801.6356","11939049957.3569",
"Belarus","BLR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5500000000","11100000000","10656302521.0084","6938434982.73878","6839769230.76923","8458551617.87365","8988380663.34273","7186245487.36462","8815230365.90808","8246546762.58993","9286372925.64715","11614414484.6851","15709960838.0473","18064972931.8142","22199798560.0776","27592401028.8526","37020969855.8322","24865004206.8706","29401680706.1249","48462076576.5494","51745313006.0334","44057927601.759","43300632818.5366","32749612425.9779","29831676604.3599","36550983211.0465","42294690637.257","41927389217.7152","37444226965.7625","49351334849.8725","46516126575.5303","48014398058.091",
"Belize","BLZ","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","88973677.084055","84972542.787739","70947948.3470445","76516537.3161435","108649358.108206","83652580.9580265","104359482.16164","137936011.204951","161076592.032097","172914999.692331","223247673.468915","214613302.724703","285311988.755671","289467072.819134","320424074.083968","329246928.731407","355026768.639086","382290384.98904","401042663.684506","440616502.431141","487924613.925004","490927816.259153","542614750.627155","583088138.530175","592076974.76374","674186097.550865","823898202.779175","862991352.295375","935978407.05761","767105993.000205","885429215.68255","1038907869.65708","1137338141.73","1140192655.15193","1186559070.56957","1130908308.86949","1059495918.07149","1128699565.48193","1182621336.2942","1238668189.09658","770543107.073235","1155566834.38017","1482477093.66212","1759500000",
"Bermuda","BMU","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3370007000","3316640000","3221785000","3337183000","3281476000","3325330000","3403730000","3466748000","3719872000","3841155000","3246335000","3547380000","3950269000","",
"Bolivia","BOL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","60500000","66583333.3333333","67250000","81166666.6666667","109333333.333333","128416666.666667","140833333.333333","168333333.333333","168000000","187916666.666667","247666666.666667","232000000","271538461.538462","350200000","741600000","624050000","756500000","864550000","849600000","1090400000","1091564913.00338","1344424359.5596","1627715489.44742","1533072753.8376","1459340577.85865","1024367625.91346","844299427.589661","853524498.116938","862854335.455383","1061009895.50356","1108688418.86801","1147697877.0086","1131356484.28144","1094224543.8131","1295730953.91706","1514364434.86735","1670369478.49412","1673170826.40403","1673894695.46379","1398593388.4889","1534686673.10742","1626035910.54648","1710308633.19386","2069153669.06088","2731911668.34677","3394535859.01026","4783631930.98222","5483635308.79498","7487843216.67967","6194300356.12536","8093221339.98948","10565767132.6439","12774727337.1925","13518462720.6946","14285068712.0116","10186598885.6729","8311504862.51809","9341206396.52677","10470274254.7033","10210442518.0897","7425817973.9508","11243140347.3227","14351785311.1433","12507893617.7134",
"Brazil","BRA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38004000000","31556072727.3333","29723863636.3636","35668919610.8551","38682712856.2845","49978798948.0716","57922124038.4584","57235482141.0805","61680024619.8487","60723187855.068","57355149556.2405","66777380518.3383","69279555096.2874","72546876638.2809","84744257516.308","110739032053.055","135919140236.363","159213742531.583","186202879575.236","229517035697.556","180891970353.521","240003137741.747","303016626325.823","292808395453.514","290364173324.942","270458130850.098","232488824444.589","223863343103.297","258330777006.501","280543266303.121","264562979421.068","242872071018.291","319251201403.084","383177602116.201","393656923982.556",
"Barbados","BRB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","202627097.668432","202690388.262302","245539166.832769","321101774.971412","438572067.816835","603440560.831303","565753492.765873","631531845.075324","740714960.473326","823546959.67782","811763536.021479","715905135.981703","659623129.319346","748670014.418535","852533187.490678","867846666.335206","819569432.705216","808900000","872470541.440859","973599164.719336","1038930045.24437","1134340973.49973","1161686471.43638","1194252473.52459","1230497688.06245","1322800000","1251500000","1211100000","1378750000","1435900000","1711700000","1938700000","2043900000","2090350000","1904950000","1763300000","1766750000","1811200000","1914200000","1879250000","1892295050","1765692250","1781072150","2105486600","2242258300","1395725450","1494848050","2002299850","",
"Brunei Darussalam","BRN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","966815177.028537","1052165478.85126","1332744060.52674","1639747478.88825","1844746649.66304","2665369238.25439","4601608064.2329","4066849308.84388","3809768577.46989","3393672653.2737","","","","","","1845396865.44037","2175960382.51441","2468235362.21817","2421166297.41425","2248434358.15647","2087801582.25113","2827057059.70544","3065868297.44667","2972105446.77217","2044691629.1926","2567616759.59921","4042123467.84705","3894125375.4068","3922175732.21757","4543571369.94219","5416000504.07401","6688049425.70793","8227156211.11778","8310386423.74571","11269949130.9069","7811523550.96252","9239730724.18297","12876089204.8973","13364629507.6615","12311715631.6588","11656782737.7194","6750982427.2262","5651998520.28491","6012333920.6353","7045735066.37537","7804888584.60408","6886059825.91906","11228855780.6292","14411072071.9153","11578413348.423",
